GENE	TRANSCRIPT_ID	FEATURE	TX_START	TX_END	GENOMIC_CHROM	GENOMIC_START0	GENOMIC_END	STRAND	LENGTH
AKT1	ENST00000649815.2	exon	25328	26400	chr14	104769348	104770420	-	1072
CARD11	ENST00000396946.9	exon	0	201	chr7	3043666	3043867	-	201
CARD11	ENST00000396946.9	exon	85236	85368	chr7	2958499	2958631	-	132
CARD11	ENST00000396946.9	exon	96080	96293	chr7	2947574	2947787	-	213
CARD11	ENST00000396946.9	exon	97911	98049	chr7	2945818	2945956	-	138
CARD11	ENST00000396946.9	exon	99330	99656	chr7	2944211	2944537	-	326
CARD11	ENST00000396946.9	exon	103939	104119	chr7	2939748	2939928	-	180
CARD11	ENST00000396946.9	exon	105036	105189	chr7	2938678	2938831	-	153
CARD11	ENST00000396946.9	exon	105835	105961	chr7	2937906	2938032	-	126
CARD11	ENST00000396946.9	exon	106633	106831	chr7	2937036	2937234	-	198
CARD11	ENST00000396946.9	exon	109238	109415	chr7	2934452	2934629	-	177
CARD11	ENST00000396946.9	exon	111281	111333	chr7	2932534	2932586	-	52
CARD11	ENST00000396946.9	exon	113793	113876	chr7	2929991	2930074	-	83
CARD11	ENST00000396946.9	exon	115169	115270	chr7	2928597	2928698	-	101
CARD11	ENST00000396946.9	exon	117076	117129	chr7	2926738	2926791	-	53
CARD11	ENST00000396946.9	exon	119502	119635	chr7	2924232	2924365	-	133
CARD11	ENST00000396946.9	exon	120534	120736	chr7	2923131	2923333	-	202
CARD11	ENST00000396946.9	exon	121107	121234	chr7	2922633	2922760	-	127
CARD11	ENST00000396946.9	exon	124255	124496	chr7	2919371	2919612	-	241
CARD11	ENST00000396946.9	exon	125280	125377	chr7	2918490	2918587	-	97
CARD11	ENST00000396946.9	exon	126482	126578	chr7	2917289	2917385	-	96
CARD11	ENST00000396946.9	exon	128495	128631	chr7	2915236	2915372	-	136
CARD11	ENST00000396946.9	exon	130401	130581	chr7	2913286	2913466	-	180
CARD11	ENST00000396946.9	exon	131571	131696	chr7	2912171	2912296	-	125
CARD11	ENST00000396946.9	exon	133702	133818	chr7	2910049	2910165	-	116
CARD11	ENST00000396946.9	exon	137025	137726	chr7	2906141	2906842	-	701
COL1A1	ENST00000225964.10	exon	0	221	chr17	50201410	50201631	-	221
COL1A1	ENST00000225964.10	exon	1684	1879	chr17	50199752	50199947	-	195
COL1A1	ENST00000225964.10	exon	2041	2076	chr17	50199555	50199590	-	35
COL1A1	ENST00000225964.10	exon	2178	2214	chr17	50199417	50199453	-	36
COL1A1	ENST00000225964.10	exon	2304	2406	chr17	50199225	50199327	-	102
COL1A1	ENST00000225964.10	exon	3127	3199	chr17	50198432	50198504	-	72
COL1A1	ENST00000225964.10	exon	3426	3471	chr17	50198160	50198205	-	45
COL1A1	ENST00000225964.10	exon	3629	3683	chr17	50197948	50198002	-	54
COL1A1	ENST00000225964.10	exon	3846	3900	chr17	50197731	50197785	-	54
COL1A1	ENST00000225964.10	exon	4398	4452	chr17	50197179	50197233	-	54
COL1A1	ENST00000225964.10	exon	4568	4622	chr17	50197009	50197063	-	54
COL1A1	ENST00000225964.10	exon	4961	5015	chr17	50196616	50196670	-	54
COL1A1	ENST00000225964.10	exon	5103	5148	chr17	50196483	50196528	-	45
COL1A1	ENST00000225964.10	exon	5264	5318	chr17	50196313	50196367	-	54
COL1A1	ENST00000225964.10	exon	5432	5477	chr17	50196154	50196199	-	45
COL1A1	ENST00000225964.10	exon	5655	5709	chr17	50195922	50195976	-	54
COL1A1	ENST00000225964.10	exon	5966	6065	chr17	50195566	50195665	-	99
COL1A1	ENST00000225964.10	exon	6153	6198	chr17	50195433	50195478	-	45
COL1A1	ENST00000225964.10	exon	6301	6400	chr17	50195231	50195330	-	99
COL1A1	ENST00000225964.10	exon	6531	6585	chr17	50195046	50195100	-	54
COL1A1	ENST00000225964.10	exon	6803	6911	chr17	50194720	50194828	-	108
COL1A1	ENST00000225964.10	exon	7005	7059	chr17	50194572	50194626	-	54
COL1A1	ENST00000225964.10	exon	7184	7283	chr17	50194348	50194447	-	99
COL1A1	ENST00000225964.10	exon	7448	7502	chr17	50194129	50194183	-	54
COL1A1	ENST00000225964.10	exon	7590	7689	chr17	50193942	50194041	-	99
COL1A1	ENST00000225964.10	exon	8584	8638	chr17	50192993	50193047	-	54
COL1A1	ENST00000225964.10	exon	8781	8835	chr17	50192796	50192850	-	54
COL1A1	ENST00000225964.10	exon	8938	8992	chr17	50192639	50192693	-	54
COL1A1	ENST00000225964.10	exon	9103	9157	chr17	50192474	50192528	-	54
COL1A1	ENST00000225964.10	exon	9607	9652	chr17	50191979	50192024	-	45
COL1A1	ENST00000225964.10	exon	9745	9844	chr17	50191787	50191886	-	99
COL1A1	ENST00000225964.10	exon	10141	10249	chr17	50191382	50191490	-	108
COL1A1	ENST00000225964.10	exon	10707	10815	chr17	50190816	50190924	-	108
COL1A1	ENST00000225964.10	exon	11035	11089	chr17	50190542	50190596	-	54
COL1A1	ENST00000225964.10	exon	11251	11305	chr17	50190326	50190380	-	54
COL1A1	ENST00000225964.10	exon	11523	11631	chr17	50190000	50190108	-	108
COL1A1	ENST00000225964.10	exon	11719	11773	chr17	50189858	50189912	-	54
COL1A1	ENST00000225964.10	exon	11899	11953	chr17	50189678	50189732	-	54
COL1A1	ENST00000225964.10	exon	12093	12255	chr17	50189376	50189538	-	162
COL1A1	ENST00000225964.10	exon	12356	12464	chr17	50189167	50189275	-	108
COL1A1	ENST00000225964.10	exon	12621	12729	chr17	50188902	50189010	-	108
COL1A1	ENST00000225964.10	exon	12836	12890	chr17	50188741	50188795	-	54
COL1A1	ENST00000225964.10	exon	12994	13102	chr17	50188529	50188637	-	108
COL1A1	ENST00000225964.10	exon	13482	13536	chr17	50188095	50188149	-	54
COL1A1	ENST00000225964.10	exon	13648	13756	chr17	50187875	50187983	-	108
COL1A1	ENST00000225964.10	exon	14094	14148	chr17	50187483	50187537	-	54
COL1A1	ENST00000225964.10	exon	14509	14617	chr17	50187014	50187122	-	108
COL1A1	ENST00000225964.10	exon	14709	14992	chr17	50186639	50186922	-	283
COL1A1	ENST00000225964.10	exon	15124	15315	chr17	50186316	50186507	-	191
COL1A1	ENST00000225964.10	exon	15611	15854	chr17	50185777	50186020	-	243
COL1A1	ENST00000225964.10	exon	15983	17531	chr17	50184100	50185648	-	1548
COL1A2	ENST00000297268.11	exon	0	207	chr7	94394894	94395101	+	207
COL1A2	ENST00000297268.11	exon	2853	2864	chr7	94397747	94397758	+	11
COL1A2	ENST00000297268.11	exon	3487	3502	chr7	94398381	94398396	+	15
COL1A2	ENST00000297268.11	exon	4154	4190	chr7	94399048	94399084	+	36
COL1A2	ENST00000297268.11	exon	5301	5394	chr7	94400195	94400288	+	93
COL1A2	ENST00000297268.11	exon	6672	6726	chr7	94401566	94401620	+	54
COL1A2	ENST00000297268.11	exon	9661	9706	chr7	94404555	94404600	+	45
COL1A2	ENST00000297268.11	exon	9798	9852	chr7	94404692	94404746	+	54
COL1A2	ENST00000297268.11	exon	9944	9998	chr7	94404838	94404892	+	54
COL1A2	ENST00000297268.11	exon	10304	10358	chr7	94405198	94405252	+	54
COL1A2	ENST00000297268.11	exon	10778	10832	chr7	94405672	94405726	+	54
COL1A2	ENST00000297268.11	exon	11355	11409	chr7	94406249	94406303	+	54
COL1A2	ENST00000297268.11	exon	12952	12997	chr7	94407846	94407891	+	45
COL1A2	ENST00000297268.11	exon	13288	13342	chr7	94408182	94408236	+	54
COL1A2	ENST00000297268.11	exon	13441	13486	chr7	94408335	94408380	+	45
COL1A2	ENST00000297268.11	exon	13875	13929	chr7	94408769	94408823	+	54
COL1A2	ENST00000297268.11	exon	14427	14526	chr7	94409321	94409420	+	99
COL1A2	ENST00000297268.11	exon	14669	14714	chr7	94409563	94409608	+	45
COL1A2	ENST00000297268.11	exon	14828	14927	chr7	94409722	94409821	+	99
COL1A2	ENST00000297268.11	exon	15347	15401	chr7	94410241	94410295	+	54
COL1A2	ENST00000297268.11	exon	15525	15633	chr7	94410419	94410527	+	108
COL1A2	ENST00000297268.11	exon	15994	16048	chr7	94410888	94410942	+	54
COL1A2	ENST00000297268.11	exon	16161	16260	chr7	94411055	94411154	+	99
COL1A2	ENST00000297268.11	exon	17173	17227	chr7	94412067	94412121	+	54
COL1A2	ENST00000297268.11	exon	17689	17788	chr7	94412583	94412682	+	99
COL1A2	ENST00000297268.11	exon	18188	18242	chr7	94413082	94413136	+	54
COL1A2	ENST00000297268.11	exon	18795	18849	chr7	94413689	94413743	+	54
COL1A2	ENST00000297268.11	exon	18999	19053	chr7	94413893	94413947	+	54
COL1A2	ENST00000297268.11	exon	19327	19381	chr7	94414221	94414275	+	54
COL1A2	ENST00000297268.11	exon	20331	20376	chr7	94415225	94415270	+	45
COL1A2	ENST00000297268.11	exon	21510	21609	chr7	94416404	94416503	+	99
COL1A2	ENST00000297268.11	exon	22829	22937	chr7	94417723	94417831	+	108
COL1A2	ENST00000297268.11	exon	23604	23658	chr7	94418498	94418552	+	54
COL1A2	ENST00000297268.11	exon	24603	24657	chr7	94419497	94419551	+	54
COL1A2	ENST00000297268.11	exon	25338	25392	chr7	94420232	94420286	+	54
COL1A2	ENST00000297268.11	exon	25496	25550	chr7	94420390	94420444	+	54
COL1A2	ENST00000297268.11	exon	25646	25754	chr7	94420540	94420648	+	108
COL1A2	ENST00000297268.11	exon	26114	26168	chr7	94421008	94421062	+	54
COL1A2	ENST00000297268.11	exon	27004	27058	chr7	94421898	94421952	+	54
COL1A2	ENST00000297268.11	exon	28062	28224	chr7	94422956	94423118	+	162
COL1A2	ENST00000297268.11	exon	29441	29549	chr7	94424335	94424443	+	108
COL1A2	ENST00000297268.11	exon	30222	30330	chr7	94425116	94425224	+	108
COL1A2	ENST00000297268.11	exon	30715	30769	chr7	94425609	94425663	+	54
COL1A2	ENST00000297268.11	exon	30855	30963	chr7	94425749	94425857	+	108
COL1A2	ENST00000297268.11	exon	31103	31157	chr7	94425997	94426051	+	54
COL1A2	ENST00000297268.11	exon	31528	31636	chr7	94426422	94426530	+	108
COL1A2	ENST00000297268.11	exon	32113	32167	chr7	94427007	94427061	+	54
COL1A2	ENST00000297268.11	exon	32293	32401	chr7	94427187	94427295	+	108
COL1A2	ENST00000297268.11	exon	32732	32991	chr7	94427626	94427885	+	259
COL1A2	ENST00000297268.11	exon	33398	33583	chr7	94428292	94428477	+	185
COL1A2	ENST00000297268.11	exon	34293	34536	chr7	94429187	94429430	+	243
COL1A2	ENST00000297268.11	exon	35352	36333	chr7	94430246	94431227	+	981
COL2A1	ENST00000380518.8	exon	0	240	chr12	48004236	48004476	-	240
COL2A1	ENST00000380518.8	exon	4351	4558	chr12	47999918	48000125	-	207
COL2A1	ENST00000380518.8	exon	6045	6062	chr12	47998414	47998431	-	17
COL2A1	ENST00000380518.8	exon	6275	6308	chr12	47998168	47998201	-	33
COL2A1	ENST00000380518.8	exon	6412	6445	chr12	47998031	47998064	-	33
COL2A1	ENST00000380518.8	exon	6552	6606	chr12	47997870	47997924	-	54
COL2A1	ENST00000380518.8	exon	6769	6871	chr12	47997605	47997707	-	102
COL2A1	ENST00000380518.8	exon	7851	7929	chr12	47996547	47996625	-	78
COL2A1	ENST00000380518.8	exon	8557	8602	chr12	47995874	47995919	-	45
COL2A1	ENST00000380518.8	exon	8713	8767	chr12	47995709	47995763	-	54
COL2A1	ENST00000380518.8	exon	9168	9222	chr12	47995254	47995308	-	54
COL2A1	ENST00000380518.8	exon	9999	10053	chr12	47994423	47994477	-	54
COL2A1	ENST00000380518.8	exon	10429	10483	chr12	47993993	47994047	-	54
COL2A1	ENST00000380518.8	exon	10614	10668	chr12	47993808	47993862	-	54
COL2A1	ENST00000380518.8	exon	10974	11019	chr12	47993457	47993502	-	45
COL2A1	ENST00000380518.8	exon	11545	11599	chr12	47992877	47992931	-	54
COL2A1	ENST00000380518.8	exon	14671	14716	chr12	47989760	47989805	-	45
COL2A1	ENST00000380518.8	exon	15195	15249	chr12	47989227	47989281	-	54
COL2A1	ENST00000380518.8	exon	16767	16866	chr12	47987610	47987709	-	99
COL2A1	ENST00000380518.8	exon	17163	17208	chr12	47987268	47987313	-	45
COL2A1	ENST00000380518.8	exon	17300	17399	chr12	47987077	47987176	-	99
COL2A1	ENST00000380518.8	exon	17588	17642	chr12	47986834	47986888	-	54
COL2A1	ENST00000380518.8	exon	18033	18141	chr12	47986335	47986443	-	108
COL2A1	ENST00000380518.8	exon	18511	18565	chr12	47985911	47985965	-	54
COL2A1	ENST00000380518.8	exon	18650	18749	chr12	47985727	47985826	-	99
COL2A1	ENST00000380518.8	exon	18889	18943	chr12	47985533	47985587	-	54
COL2A1	ENST00000380518.8	exon	19383	19482	chr12	47984994	47985093	-	99
COL2A1	ENST00000380518.8	exon	19877	19931	chr12	47984545	47984599	-	54
COL2A1	ENST00000380518.8	exon	20336	20390	chr12	47984086	47984140	-	54
COL2A1	ENST00000380518.8	exon	20740	20794	chr12	47983682	47983736	-	54
COL2A1	ENST00000380518.8	exon	21038	21092	chr12	47983384	47983438	-	54
COL2A1	ENST00000380518.8	exon	21339	21384	chr12	47983092	47983137	-	45
COL2A1	ENST00000380518.8	exon	21530	21629	chr12	47982847	47982946	-	99
COL2A1	ENST00000380518.8	exon	21867	21975	chr12	47982501	47982609	-	108
COL2A1	ENST00000380518.8	exon	22316	22370	chr12	47982106	47982160	-	54
COL2A1	ENST00000380518.8	exon	22647	22701	chr12	47981775	47981829	-	54
COL2A1	ENST00000380518.8	exon	23080	23134	chr12	47981342	47981396	-	54
COL2A1	ENST00000380518.8	exon	23508	23562	chr12	47980914	47980968	-	54
COL2A1	ENST00000380518.8	exon	23815	23923	chr12	47980553	47980661	-	108
COL2A1	ENST00000380518.8	exon	24414	24468	chr12	47980008	47980062	-	54
COL2A1	ENST00000380518.8	exon	24912	24966	chr12	47979510	47979564	-	54
COL2A1	ENST00000380518.8	exon	25718	25880	chr12	47978596	47978758	-	162
COL2A1	ENST00000380518.8	exon	26078	26186	chr12	47978290	47978398	-	108
COL2A1	ENST00000380518.8	exon	26359	26467	chr12	47978009	47978117	-	108
COL2A1	ENST00000380518.8	exon	26823	26877	chr12	47977599	47977653	-	54
COL2A1	ENST00000380518.8	exon	27049	27157	chr12	47977319	47977427	-	108
COL2A1	ENST00000380518.8	exon	27321	27375	chr12	47977101	47977155	-	54
COL2A1	ENST00000380518.8	exon	27557	27665	chr12	47976811	47976919	-	108
COL2A1	ENST00000380518.8	exon	27909	27963	chr12	47976513	47976567	-	54
COL2A1	ENST00000380518.8	exon	28406	28514	chr12	47975962	47976070	-	108
COL2A1	ENST00000380518.8	exon	28871	29160	chr12	47975316	47975605	-	289
COL2A1	ENST00000380518.8	exon	29614	29802	chr12	47974674	47974862	-	188
COL2A1	ENST00000380518.8	exon	30145	30388	chr12	47974088	47974331	-	243
COL2A1	ENST00000380518.8	exon	30923	31510	chr12	47972966	47973553	-	587
KCNJ11	ENST00000339994.5	exon	0	3412	chr11	17385247	17388659	-	3412
KCNQ2	ENST00000359125.7	exon	0	488	chr20	63472167	63472655	-	488
KCNQ2	ENST00000359125.7	exon	25818	25909	chr20	63446746	63446837	-	91
KCNQ2	ENST00000359125.7	exon	27291	27418	chr20	63445237	63445364	-	127
KCNQ2	ENST00000359125.7	exon	27821	27997	chr20	63444658	63444834	-	176
KCNQ2	ENST00000359125.7	exon	30124	30250	chr20	63442405	63442531	-	126
KCNQ2	ENST00000359125.7	exon	32947	33058	chr20	63439597	63439708	-	111
KCNQ2	ENST00000359125.7	exon	33935	34031	chr20	63438624	63438720	-	96
KCNQ2	ENST00000359125.7	exon	38752	38847	chr20	63433808	63433903	-	95
KCNQ2	ENST00000359125.7	exon	41286	41316	chr20	63431339	63431369	-	30
KCNQ2	ENST00000359125.7	exon	44220	44289	chr20	63428366	63428435	-	69
KCNQ2	ENST00000359125.7	exon	48449	48479	chr20	63424176	63424206	-	30
KCNQ2	ENST00000359125.7	exon	52983	53037	chr20	63419618	63419672	-	54
KCNQ2	ENST00000359125.7	exon	57529	57753	chr20	63414902	63415126	-	224
KCNQ2	ENST00000359125.7	exon	58462	58568	chr20	63414087	63414193	-	106
KCNQ2	ENST00000359125.7	exon	59074	59206	chr20	63413449	63413581	-	132
KCNQ2	ENST00000359125.7	exon	64119	64243	chr20	63408412	63408536	-	124
KCNQ2	ENST00000359125.7	exon	65280	72448	chr20	63400207	63407375	-	7168
KIF1A	ENST00000498729.9	exon	0	98	chr2	240820121	240820219	-	98
KIF1A	ENST00000498729.9	exon	22407	22573	chr2	240797646	240797812	-	166
KIF1A	ENST00000498729.9	exon	30907	30984	chr2	240789235	240789312	-	77
KIF1A	ENST00000498729.9	exon	31989	32169	chr2	240788050	240788230	-	180
KIF1A	ENST00000498729.9	exon	32903	32969	chr2	240787250	240787316	-	66
KIF1A	ENST00000498729.9	exon	33706	33885	chr2	240786334	240786513	-	179
KIF1A	ENST00000498729.9	exon	35119	35231	chr2	240784988	240785100	-	112
KIF1A	ENST00000498729.9	exon	36403	36481	chr2	240783738	240783816	-	78
KIF1A	ENST00000498729.9	exon	37110	37176	chr2	240783043	240783109	-	66
KIF1A	ENST00000498729.9	exon	37612	37630	chr2	240782589	240782607	-	18
KIF1A	ENST00000498729.9	exon	44293	44369	chr2	240775850	240775926	-	76
KIF1A	ENST00000498729.9	exon	45958	46037	chr2	240774182	240774261	-	79
KIF1A	ENST00000498729.9	exon	46963	47106	chr2	240773113	240773256	-	143
KIF1A	ENST00000498729.9	exon	47623	47650	chr2	240772569	240772596	-	27
KIF1A	ENST00000498729.9	exon	49115	49249	chr2	240770970	240771104	-	134
KIF1A	ENST00000498729.9	exon	50513	50593	chr2	240769626	240769706	-	80
KIF1A	ENST00000498729.9	exon	51011	51087	chr2	240769132	240769208	-	76
KIF1A	ENST00000498729.9	exon	52874	52954	chr2	240767265	240767345	-	80
KIF1A	ENST00000498729.9	exon	53198	53305	chr2	240766914	240767021	-	107
KIF1A	ENST00000498729.9	exon	54426	54510	chr2	240765709	240765793	-	84
KIF1A	ENST00000498729.9	exon	56873	57054	chr2	240763165	240763346	-	181
KIF1A	ENST00000498729.9	exon	57128	57201	chr2	240763018	240763091	-	73
KIF1A	ENST00000498729.9	exon	57407	57501	chr2	240762718	240762812	-	94
KIF1A	ENST00000498729.9	exon	58842	58991	chr2	240761228	240761377	-	149
KIF1A	ENST00000498729.9	exon	59376	59555	chr2	240760664	240760843	-	179
KIF1A	ENST00000498729.9	exon	61722	61860	chr2	240758359	240758497	-	138
KIF1A	ENST00000498729.9	exon	62625	62901	chr2	240757318	240757594	-	276
KIF1A	ENST00000498729.9	exon	69672	69791	chr2	240750428	240750547	-	119
KIF1A	ENST00000498729.9	exon	72898	72984	chr2	240747235	240747321	-	86
KIF1A	ENST00000498729.9	exon	74042	74181	chr2	240746038	240746177	-	139
KIF1A	ENST00000498729.9	exon	74310	74482	chr2	240745737	240745909	-	172
KIF1A	ENST00000498729.9	exon	74702	74793	chr2	240745426	240745517	-	91
KIF1A	ENST00000498729.9	exon	76159	76278	chr2	240743941	240744060	-	119
KIF1A	ENST00000498729.9	exon	77235	77291	chr2	240742928	240742984	-	56
KIF1A	ENST00000498729.9	exon	78842	78951	chr2	240741268	240741377	-	109
KIF1A	ENST00000498729.9	exon	79855	79922	chr2	240740297	240740364	-	67
KIF1A	ENST00000498729.9	exon	80077	80162	chr2	240740057	240740142	-	85
KIF1A	ENST00000498729.9	exon	83051	83157	chr2	240737062	240737168	-	106
KIF1A	ENST00000498729.9	exon	93279	93394	chr2	240726825	240726940	-	115
KIF1A	ENST00000498729.9	exon	94815	94949	chr2	240725270	240725404	-	134
KIF1A	ENST00000498729.9	exon	96183	96245	chr2	240723974	240724036	-	62
KIF1A	ENST00000498729.9	exon	96661	96807	chr2	240723412	240723558	-	146
KIF1A	ENST00000498729.9	exon	97563	97764	chr2	240722455	240722656	-	201
KIF1A	ENST00000498729.9	exon	98335	98413	chr2	240721806	240721884	-	78
KIF1A	ENST00000498729.9	exon	99181	99306	chr2	240720913	240721038	-	125
KIF1A	ENST00000498729.9	exon	100293	100446	chr2	240719773	240719926	-	153
KIF1A	ENST00000498729.9	exon	101021	101214	chr2	240719005	240719198	-	193
KIF1A	ENST00000498729.9	exon	102051	102170	chr2	240718049	240718168	-	119
KIF1A	ENST00000498729.9	exon	102813	106453	chr2	240713766	240717406	-	3640
KIF5B	ENST00000302418.5	exon	0	578	chr10	32055847	32056425	-	578
KIF5B	ENST00000302418.5	exon	7874	7962	chr10	32048463	32048551	-	88
KIF5B	ENST00000302418.5	exon	15968	16042	chr10	32040383	32040457	-	74
KIF5B	ENST00000302418.5	exon	16994	17099	chr10	32039326	32039431	-	105
KIF5B	ENST00000302418.5	exon	17599	17648	chr10	32038777	32038826	-	49
KIF5B	ENST00000302418.5	exon	18207	18263	chr10	32038162	32038218	-	56
KIF5B	ENST00000302418.5	exon	18818	18906	chr10	32037519	32037607	-	88
KIF5B	ENST00000302418.5	exon	19047	19172	chr10	32037253	32037378	-	125
KIF5B	ENST00000302418.5	exon	20431	20536	chr10	32035889	32035994	-	105
KIF5B	ENST00000302418.5	exon	20758	20904	chr10	32035521	32035667	-	146
KIF5B	ENST00000302418.5	exon	21587	21736	chr10	32034689	32034838	-	149
KIF5B	ENST00000302418.5	exon	22387	22581	chr10	32033844	32034038	-	194
KIF5B	ENST00000302418.5	exon	23651	23720	chr10	32032705	32032774	-	69
KIF5B	ENST00000302418.5	exon	25146	25353	chr10	32031072	32031279	-	207
KIF5B	ENST00000302418.5	exon	27854	27998	chr10	32028427	32028571	-	144
KIF5B	ENST00000302418.5	exon	33389	33578	chr10	32022847	32023036	-	189
KIF5B	ENST00000302418.5	exon	34168	34286	chr10	32022139	32022257	-	118
KIF5B	ENST00000302418.5	exon	35138	35200	chr10	32021225	32021287	-	62
KIF5B	ENST00000302418.5	exon	35294	35404	chr10	32021021	32021131	-	110
KIF5B	ENST00000302418.5	exon	36466	36568	chr10	32019857	32019959	-	102
KIF5B	ENST00000302418.5	exon	37863	37924	chr10	32018501	32018562	-	61
KIF5B	ENST00000302418.5	exon	38038	38110	chr10	32018315	32018387	-	72
KIF5B	ENST00000302418.5	exon	38269	38374	chr10	32018051	32018156	-	105
KIF5B	ENST00000302418.5	exon	39066	39283	chr10	32017142	32017359	-	217
KIF5B	ENST00000302418.5	exon	40766	40917	chr10	32015508	32015659	-	151
KIF5B	ENST00000302418.5	exon	44909	47411	chr10	32009014	32011516	-	2502
MTOR	ENST00000361445.9	exon	0	107	chr1	11262444	11262551	-	107
MTOR	ENST00000361445.9	exon	3128	3304	chr1	11259247	11259423	-	176
MTOR	ENST00000361445.9	exon	3958	4067	chr1	11258484	11258593	-	109
MTOR	ENST00000361445.9	exon	5386	5619	chr1	11256932	11257165	-	233
MTOR	ENST00000361445.9	exon	6359	6560	chr1	11255991	11256192	-	201
MTOR	ENST00000361445.9	exon	8578	8713	chr1	11253838	11253973	-	135
MTOR	ENST00000361445.9	exon	14457	14733	chr1	11247818	11248094	-	276
MTOR	ENST00000361445.9	exon	14818	14927	chr1	11247624	11247733	-	109
MTOR	ENST00000361445.9	exon	19251	19438	chr1	11243113	11243300	-	187
